0,1087,8653
1,10,6014
2,4882,8160
3,2462,456
4,5923,7911
5,4268,5705
6,6688,4769
7,9031,7631
8,8988,2433
9,7610,3113
10,5848,9570
11,6214,8515
12,1049,5423
13,7725,3561
14,4238,4439
15,7741,8444
16,7771,6301
17,6661,9128
18,9308,9070
19,5836,5047
20,9134,9093
21,1163,3709
22,4594,262
23,6776,9248
24,1088,1754
25,1641,7228
26,7397,2676
27,2633,2325
28,4672,3935
29,6429,9575
30,2036,3641
31,2214,5449
32,2873,1177
33,447,4722
34,2774,284
35,1086,4586
36,3632,9673
37,6001,6648
38,2725,3998
39,3878,4732
40,271,7292
41,6080,6267
42,2958,1759
43,7650,2838
44,897,43
45,3722,4672
46,7028,1988
47,3786,6486
48,2560,2151
49,3104,7765
50,1094,3743
51,999,1906
52,9346,8889
53,1187,2268
54,5812,798
55,8428,4475
56,2887,8771
57,4043,5070
58,1471,9863
59,2119,9730
60,4612,9288
61,6325,5735
62,5789,9711
63,1299,6372
64,333,7940
65,2455,4975
66,2731,8981
67,2173,9880
68,6257,7962
69,6566,7220
70,4850,4151
71,6784,6105
72,9991,4446
73,4612,7046
74,2015,2249
75,4070,9923
76,4083,9606
77,4341,1134
78,6077,9582
79,2648,9719
80,9862,2111
81,2174,6958
82,9017,1635
83,1349,6439
84,3855,2752
85,171,6060
86,2994,6263
87,9128,6334
88,1813,719
89,6147,5670
90,7626,7665
91,8789,3859
92,9880,4827
93,8625,1246
94,5418,1638
95,8433,938
96,2150,1361
97,5426,2445
98,4772,180
99,7569,3570
100,767,1265
101,5072,9450
102,7911,9187
103,2893,4415
104,4088,654
105,3350,9661
106,3854,3844
107,1210,3846
108,734,6121
109,4483,7563
110,473,3301
111,7479,2410
112,2974,1791
113,441,9226
114,1027,6826
115,789,1741
116,2230,6284
117,9232,5934
118,7173,6940
119,9086,7894
120,4975,1522
121,8934,4840
122,4952,5792
123,8897,1948
124,5474,1452
125,2198,7905
126,2527,3815
127,5164,6990
128,3405,8587
129,9925,5501
130,7417,2260
131,6312,505
132,7011,9376
133,6393,5827
134,6277,7386
135,5432,5021
136,5472,8298
137,2214,4850
138,2292,4239
139,5401,9166
140,695,2440
141,5970,3188
142,8489,4953
143,8501,3181
144,2593,3454
145,9329,5751
146,7160,5171
147,9219,5960
148,1809,3768
149,6269,7493
150,5044,1326
151,3119,9072
152,2427,8476
153,3572,289
154,5658,7508
155,9055,1951
156,6232,3608
157,9454,4271
158,6334,9330
159,8187,7308
160,4229,8178
161,4399,4675
162,5174,8643
163,3662,1326
164,5358,4684
165,2418,1567
166,1357,5746
167,2432,8365
168,975,440
169,7126,6332
170,2934,1078
171,3703,6381
172,1520,3489
173,9926,7572
174,523,8275
175,2641,5442
176,4988,6964
177,8673,1156
178,6830,2963
179,8279,9431
180,237,4428
181,5581,2869
182,3986,4709
183,6819,7849
184,6752,7065
185,1357,200
186,3570,4971
187,8052,2474
188,8769,9499
189,5529,2215
190,1809,1397
191,4200,2599
192,7226,3715
193,7628,5059
194,8419,5923
195,8246,8189
196,9456,8665
197,3971,8418
198,6986,1296
199,3371,7109
200,904,3933
201,2316,4062
202,2512,7473
203,9600,6560
204,94,7656
205,6093,9803
206,3510,7085
207,5880,7717
208,7970,7181
209,6697,8654
210,6167,6675
211,9618,3872
212,7369,3288
